probIn scale
0.4832409 26.12668
0.5786465 27.49089
0.6273698 24.54143
0.6571301 22.30981
0.670062 21.46975
0.6948343 20.6275
0.737595 19.08777
0.7294912 18.20152
0.7962215 18.90754
0.780502 19.57689
0.8059696 18.41153
0.7842725 18.52435
0.8050421 17.46813
0.802367 20.08489
0.7978472 18.8272
0.820026 18.73839
0.8014717 16.84556
0.8398454 16.24064
0.8675749 17.24
0.8870379 16.19556
0.8825009 16.69842
0.9111049 14.96736
0.93501 14.58939
0.9089028 14.25679
0.8822421 15.0348
0.8989833 15.14909
0.9101132 14.14989
0.8690876 14.51588
0.8883266 15.52701
0.8729778 16.11956
0.8720937 15.95153
0.8689093 15.40802
0.9228692 15.31116
0.9486375 16.42103
0.9482617 16.12747
0.9438979 15.69361
0.9312978 16.21472
0.9517935 17.78614
0.9030871 19.12533
0.8676141 17.76932
0.877376 18.74415
0.8770253 18.83699
0.8840734 18.10885
0.8760094 17.77096
0.8802149 16.19266
0.9238412 16.39147
0.9086377 15.56628
0.9181166 16.02256
0.9119853 15.90014
0.9126996 14.48931
0.9477384 13.72398
0.9310019 12.79165
0.89886 13.25143
0.9373825 11.80253
0.9570047 11.77648
0.9120943 11.42653
0.9154868 11.08329
0.9449652 10.88772
0.9569011 10.67288
0.9675533 11.43491
0.9346833 11.84455
0.9472553 13.25444
0.9375925 13.07654
0.9255503 12.81322
0.9303603 12.54792
0.8956546 14.6361
0.9359636 14.44411
0.9315668 12.80824
0.931313 12.32177
0.9117076 12.01389
0.9055459 14.38534
0.8642968 14.32003
0.9053863 13.90773
0.941423 14.28762
0.9260731 15.13289
0.9405473 15.43261
0.9702421 15.12119
0.9555986 14.86202
0.9714885 13.41792
0.9489706 15.11388
0.9505442 15.59084
0.9103167 14.88155
0.9340329 13.81949
0.8880801 12.89808
0.928321 12.70471
0.8936699 11.75967
0.8903128 12.33205
0.8746236 13.95301
0.8683061 13.90396
0.8651208 13.47936
0.9076478 12.7857
0.9087885 12.50897
0.8923355 12.92241
0.9089559 13.27413
0.9169913 13.87739
0.901926 14.82876
0.9059463 16.02905
0.8464716 17.78474
0.8031529 17.79367
0.8089042 17.72446
0.8105703 17.61731
0.829634 18.2806
0.8497582 18.00042
0.8679576 18.54392
0.861017 19.29648
0.8241384 19.35549
0.8014977 16.70514
0.8238129 17.86128
0.8618258 16.98547
0.7897103 17.51935
0.7472144 17.70009
0.8424934 17.04621
0.8112856 17.12681
0.8328381 18.18066
0.8191776 17.69412
0.8596919 15.61475
0.8880161 15.586
0.9048977 14.75398
0.9199035 16.70097
0.9228704 17.39921
0.9095505 16.34763
0.9218204 15.39144
0.9005504 15.75545
0.8770646 15.69424
0.850156 15.86059
0.8396454 15.72545
0.8560494 14.70259
0.8699495 13.4228
0.871398 14.42021
0.9134899 13.16422
0.897097 14.46297
0.9175344 14.15
0.9326415 14.40138
0.9322961 13.59215
0.9433236 14.57718
0.9281678 14.63844
0.9100281 15.0229
0.9017036 14.29823
0.9275531 14.35305
0.9266982 14.4185
0.8712346 12.91827
0.9002327 12.84239
0.9195584 13.04374
0.8908341 13.55149
0.8672776 12.96492
0.8894535 13.76632
0.9062073 15.49074
0.8750524 15.05862
0.8710282 14.98155
0.8849546 14.19117
0.8692055 15.28625
0.8805538 15.00983
0.8254066 15.22249
0.8975243 15.97631
0.9266868 15.60369
0.888324 16.58198
0.8853594 14.48503
0.8777587 13.72955
0.9030447 15.17496
0.9104457 14.59341
0.9281272 13.99114
0.927354 14.12244
0.9318619 14.29752
0.9108861 13.62548
0.8678754 14.52937
0.8259518 13.84468
0.9228593 15.06629
0.9059045 14.59731
0.9161271 13.73889
0.9024049 13.23695
0.9098743 12.73398
0.9046543 13.82504
0.8800724 13.39225
0.8606243 14.24543
0.8862452 15.32388
0.8489453 14.32989
0.8865718 14.59069
0.8608672 16.19206
0.8496443 16.9848
0.844339 15.22328
0.862377 15.39122
0.9130885 14.83064
0.9399754 14.39394
0.8986785 14.83295
0.8966223 14.64956
0.8828568 14.90476
0.9137373 14.36
0.8858151 13.99864
0.9186734 14.57712
0.8998501 15.29521
0.8562227 15.44704
0.8573383 15.56048
0.8614172 16.35232
0.8674504 15.99974
0.8439825 17.2489
0.8531408 17.66376
0.8480708 17.1655
0.8500375 16.47489
0.8400063 15.37786
0.9075716 13.90879
0.907017 14.24602
0.9292685 14.77947
0.9056069 15.71546
0.9058927 16.13449
0.9026516 15.25171
0.9224564 15.34299
0.9199881 15.27483
0.8971142 14.96193
0.9148839 15.00049
0.870628 13.20357
0.8569953 13.25716
0.8560866 15.44912
0.8857055 15.16962
0.8883089 14.89974
0.9470992 16.55651
0.9401141 14.32022
0.9284198 15.20371
0.9456672 17.52095
0.9392173 17.38665
0.9105292 17.03599
0.8827452 17.43329
0.8482904 16.72844
0.8478985 14.59717
0.9014008 15.26236
0.8951659 13.60289
0.8626938 14.45925
0.8364671 15.8935
0.8484473 15.58577
0.859943 15.74519
0.881123 16.7014
0.9073096 16.1202
0.8963999 14.55937
0.8680888 16.42188
0.837912 15.20143
0.8431872 14.95723
0.868421 16.53547
0.8659689 13.96318
0.7984799 15.10912
0.8456094 16.30104
0.7916033 16.70999
0.8100834 17.30301
0.8535278 17.30772
0.8543738 17.00239
0.833525 18.19161
0.8470233 16.88814
0.8539249 16.3728
0.8631348 17.83222
0.8366512 20.18414
0.8166872 20.86135
0.8254398 19.41962
0.8040866 18.07052
0.7974944 18.03254
0.8078494 18.16858
0.7681578 18.09731
0.7627358 17.16285
0.7835498 19.09747
0.7757351 19.21893
0.77339 18.96363
0.7873221 17.47893
0.7865198 17.93596
0.8033775 17.33656
0.8274254 16.97319
0.842755 18.01457
0.8074925 18.17471
0.8149867 17.77992
0.8145832 17.6937
0.8291239 18.84871
0.8698861 17.58687
0.8884609 17.57507
0.8558345 18.2427
0.7860621 18.36264
0.8341437 19.09008
0.8425508 18.33471
0.8797577 17.30559
0.9052687 15.44164
0.8724296 14.82977
0.9266949 14.62738
0.9337444 14.86026
0.9497734 14.69159
0.9314382 13.75911
0.9166609 13.34181
0.9066136 12.75272
0.9594328 12.9839
0.9366109 13.98201
0.9520801 14.05656
0.9272363 13.94437
0.9224556 14.42102
0.9058004 15.40128
0.902663 14.57931
0.9095623 15.27141
0.8880208 13.17762
0.8907526 14.36305
0.8418502 14.71561
0.8338868 14.01171
0.8687294 14.48134
0.8599409 14.86401
0.8847092 14.83224
0.8600928 16.26542
0.8459419 15.64988
0.8395508 16.5557
