probIn scale
0.4713548 5.8837
0.3745921 5.991223
0.288204 6.03237
0.2339903 5.868922
0.2556591 6.055077
0.2429843 5.961408
0.2305016 5.696702
0.1840079 6.158728
0.1933391 6.2433
0.1687892 6.217921
0.2057616 6.159695
0.1972201 6.392695
0.2082591 6.304621
0.1907288 5.812787
0.2207497 5.372833
0.2006653 5.263615
0.2145613 5.20657
0.2172069 4.890399
0.2180016 5.01622
0.2001367 5.069229
0.1868227 4.72883
0.178074 4.853246
0.1264324 4.872633
0.1704327 5.210636
0.1828868 5.331307
0.1691686 5.562077
0.1651653 5.432452
0.1934618 5.320345
0.1609336 5.408858
0.1954155 5.465054
0.1856773 5.084677
0.1806274 4.95962
0.1746059 5.321311
0.1657013 5.076905
0.1616279 4.994415
0.2041388 5.015409
0.2357689 5.158156
0.2502052 5.101243
0.2213488 4.741084
0.1790673 5.145076
0.1918382 5.25365
0.2142361 4.723213
0.2129472 4.904915
0.1857145 4.964495
0.1744812 4.958627
0.1799456 4.871456
0.2076102 4.898195
0.2066929 4.756778
0.2254189 4.33636
0.2446806 4.508379
0.223008 4.500475
0.2523266 4.108953
0.2253468 4.539578
0.2142222 4.355562
0.2549486 4.042866
0.208514 4.033499
0.2009702 4.264446
0.1628964 4.700829
0.1796614 4.687602
0.1731478 4.621934
0.1931886 4.354555
0.1914105 4.056569
0.1925196 3.932032
0.1996158 4.233888
0.2183518 4.704644
0.2286596 4.93905
0.229514 4.588297
0.2212377 4.58364
0.2128552 4.457614
0.2022207 4.578461
0.2239923 4.183945
0.1984997 4.245553
0.2278985 3.864726
0.2393914 4.209487
0.213966 4.288266
0.235089 4.246075
0.2378707 3.937391
0.2302656 3.898832
0.1952597 3.929741
0.1858181 3.966713
0.2541222 3.783771
0.2506425 3.857905
0.2441908 3.774073
0.2498639 3.730166
0.2259861 3.707566
0.214597 3.851055
0.2320545 3.762576
0.2202037 3.686149
0.2336511 3.572742
0.2049545 3.565424
0.2428868 3.480428
0.2302933 3.423155
0.19829 3.525183
0.1997174 3.694499
0.2265691 3.643539
0.2024752 3.594303
0.1963727 3.35711
0.2275225 3.458031
0.2159303 3.580039
0.2278745 3.637081
0.1700918 3.69266
0.151832 3.828946
0.141457 3.525361
0.1804944 3.583134
0.2004373 3.456978
0.1923799 3.095251
0.230623 3.040386
0.2041141 3.070241
0.2271764 2.972184
0.2001639 2.846519
0.2351358 2.810355
0.2065623 2.915359
0.1951549 2.904624
0.2454898 3.050601
0.2475217 3.142555
0.2503865 3.248896
0.2318313 2.986943
0.2091042 3.052291
0.2090514 2.983941
0.1798334 2.896425
0.215538 2.962966
0.1758151 2.952356
0.1872941 3.111539
0.2166718 3.24802
0.1808641 3.365208
0.1981168 3.362727
0.1706009 3.069038
0.1691271 3.018259
0.2050153 2.998285
0.1625049 3.043615
0.1891571 3.08722
0.1743342 3.115094
0.1519355 3.147859
0.1511688 3.29345
0.2200283 3.048214
0.2324734 2.938435
0.1745409 2.902098
0.1938371 2.938402
0.2004309 3.00691
0.1866952 2.878458
0.1912682 2.772166
0.2032121 2.925018
0.1787309 2.87852
0.1791793 2.729819
0.1904371 2.664407
0.1829586 2.735023
0.1607571 2.742592
0.1206163 2.66602
0.1346025 2.737542
0.132365 2.820747
0.1473672 2.788225
0.1374416 2.865959
0.1795136 2.796987
0.1718453 2.826402
0.18748 2.963764
0.2199861 2.897683
0.221973 3.047871
0.2197762 2.976935
0.2460192 3.003521
0.2123035 3.036876
0.1908792 2.970668
0.2232418 2.860479
0.2386799 2.858258
0.191432 2.963794
0.2106253 2.896645
0.2095005 2.976904
0.2143806 3.084517
0.2570005 2.968047
0.2940633 2.78567
0.3110611 2.838551
0.3461776 2.915134
0.3439162 2.904121
0.3358829 2.981981
0.3212363 2.822814
0.254785 2.810117
0.2847529 2.907037
0.2218452 3.018655
0.1901506 2.796343
0.1919108 2.809097
0.235252 2.841863
0.2544895 2.941752
0.2646618 2.91116
0.251934 2.943335
0.2514259 2.737788
0.2571794 2.798708
0.2724636 2.779789
0.2922937 2.675729
0.2804541 2.816626
0.264408 2.770878
0.2762265 2.776498
0.2714026 2.866336
0.2767188 2.917632
0.2509286 2.971761
0.2600271 3.018361
0.2647602 2.944218
0.2419764 3.205301
0.2403837 3.054155
0.2475453 3.074547
0.2494413 3.029077
0.2760776 3.041712
0.2866901 3.09128
0.2478355 3.221181
0.218447 3.171151
0.1905759 3.149146
0.1950127 3.209053
0.1814092 3.088715
0.1858911 3.033699
0.1733036 3.15883
0.16975 3.069046
0.1926337 3.17668
0.215277 3.125712
0.1835145 3.158245
0.1450491 3.079337
0.1617408 3.339808
0.1774443 3.477044
0.1770353 3.443654
0.236567 3.452314
0.1753499 3.506599
0.1682571 3.698409
0.1553333 3.620356
0.1495421 3.7034
0.1678837 3.98443
0.1739269 4.296207
0.2024516 4.218331
0.2201914 4.016485
0.2338663 4.246581
0.1911792 4.431237
0.1916289 4.360996
0.1755938 4.19669
0.1467916 4.123792
0.1282355 4.219037
0.09202386 4.162502
0.1302931 4.365158
0.1670453 4.165951
0.1662045 4.232174
0.1653397 4.435938
0.1571174 4.584144
0.1433331 4.738829
0.1080061 4.725174
0.1162678 4.54516
0.09959159 4.558855
0.10577 4.379414
0.1158409 4.456159
0.1027232 4.603921
0.1129436 4.587523
0.1201486 4.625755
0.1012217 4.956184
0.130982 4.880947
0.1629628 4.939549
0.1526006 4.947113
0.1357542 5.134929
0.08916511 5.398521
0.1118185 5.09494
0.09746417 5.278588
0.08294971 5.09794
0.09016736 5.227804
0.1054697 4.938489
0.1053103 4.903851
0.08126273 4.678501
0.1161721 4.483848
0.1068699 4.594862
0.1427613 4.266825
0.1133895 4.677758
0.1164973 4.666923
0.1540895 4.6744
0.1155942 4.691608
0.1464009 4.488462
0.1297247 4.513583
0.1317961 4.472503
0.1262105 4.298463
0.1295963 4.454617
0.09209642 4.494915
0.1000401 4.451018
0.1161181 4.620879
0.1356861 4.470355
0.1519981 4.798952
0.1198439 5.075079
0.1320798 5.234223
0.1112199 5.370193
0.1520888 5.206845
0.1182914 5.394165
0.114658 5.348339
0.1054942 5.064344
0.1114661 4.99907
0.1073298 5.399355
0.0754813 5.207362
0.1063957 5.140068
0.1174708 5.299794
0.1065193 5.50608
0.09711904 5.723243
0.09812961 5.50176
0.08278344 5.405872
0.1184928 5.383041
0.0996159 5.492754
0.1361303 5.675731
0.1642736 5.84876
0.1661649 5.468008
0.1305241 5.705802
0.1621337 5.143172
0.1794331 4.893653
