"method","sb","b"
"1","SOFT",0,0
"2","SOFT",0,0.001
"3","SOFT",0,0.002
"4","SOFT",0,0.003
"5","SOFT",0,0.004
"6","SOFT",0,0.005
"7","SOFT",0,0.006
"8","SOFT",0,0.007
"9","SOFT",0,0.008
"10","SOFT",0,0.009
"11","SOFT",0,0.01
"12","SOFT",0,0.011
"13","SOFT",0,0.012
"14","SOFT",0,0.013
"15","SOFT",0,0.014
"16","SOFT",0,0.015
"17","SOFT",0,0.016
"18","SOFT",0,0.017
"19","SOFT",0,0.018
"20","SOFT",0,0.019
"21","SOFT",0,0.02
"22","SOFT",0,0.021
"23","SOFT",0,0.022
"24","SOFT",0,0.023
"25","SOFT",0,0.024
"26","SOFT",0,0.025
"27","SOFT",0,0.026
"28","SOFT",0,0.027
"29","SOFT",0,0.028
"30","SOFT",0,0.029
"31","SOFT",0,0.03
"32","SOFT",0,0.031
"33","SOFT",0,0.032
"34","SOFT",0,0.033
"35","SOFT",0,0.034
"36","SOFT",0,0.035
"37","SOFT",0,0.036
"38","SOFT",0,0.037
"39","SOFT",0,0.038
"40","SOFT",0,0.039
"41","SOFT",0,0.04
"42","SOFT",0,0.041
"43","SOFT",0,0.042
"44","SOFT",0,0.043
"45","SOFT",0,0.044
"46","SOFT",0,0.045
"47","SOFT",0,0.046
"48","SOFT",0,0.047
"49","SOFT",0,0.048
"50","SOFT",0,0.049
"51","SOFT",0,0.05
"52","SOFT",0,0.051
"53","SOFT",0,0.052
"54","SOFT",0,0.053
"55","SOFT",0,0.054
"56","SOFT",0,0.055
"57","SOFT",0,0.056
"58","SOFT",0,0.057
"59","SOFT",0,0.058
"60","SOFT",0,0.059
"61","SOFT",0,0.06
"62","SOFT",0,0.061
"63","SOFT",0,0.062
"64","SOFT",0,0.063
"65","SOFT",0,0.064
"66","SOFT",0,0.065
"67","SOFT",0,0.066
"68","SOFT",0,0.067
"69","SOFT",0,0.068
"70","SOFT",0,0.069
"71","SOFT",0,0.07
"72","SOFT",0,0.071
"73","SOFT",0,0.072
"74","SOFT",0,0.073
"75","SOFT",0,0.074
"76","SOFT",0,0.075
"77","SOFT",0,0.076
"78","SOFT",0,0.077
"79","SOFT",0,0.078
"80","SOFT",0,0.079
"81","SOFT",0,0.08
"82","SOFT",0,0.081
"83","SOFT",0,0.082
"84","SOFT",0,0.083
"85","SOFT",0,0.084
"86","SOFT",0,0.085
"87","SOFT",0,0.086
"88","SOFT",0,0.087
"89","SOFT",0,0.088
"90","SOFT",0,0.089
"91","SOFT",0,0.09
"92","SOFT",0,0.091
"93","SOFT",0,0.092
"94","SOFT",0,0.093
"95","SOFT",0,0.094
"96","SOFT",0,0.095
"97","SOFT",0,0.096
"98","SOFT",0,0.097
"99","SOFT",0,0.098
"100","SOFT",0,0.099
"101","SOFT",0,0.1
"102","SOFT",0,0.101
"103","SOFT",0,0.102
"104","SOFT",0,0.103
"105","SOFT",0,0.104
"106","SOFT",0,0.105
"107","SOFT",0,0.106
"108","SOFT",0,0.107
"109","SOFT",0,0.108
"110","SOFT",0,0.109
"111","SOFT",0,0.11
"112","SOFT",0,0.111
"113","SOFT",0,0.112
"114","SOFT",0,0.113
"115","SOFT",0,0.114
"116","SOFT",0,0.115
"117","SOFT",0,0.116
"118","SOFT",0,0.117
"119","SOFT",0,0.118
"120","SOFT",0,0.119
"121","SOFT",0,0.12
"122","SOFT",0,0.121
"123","SOFT",0,0.122
"124","SOFT",0,0.123
"125","SOFT",0,0.124
"126","SOFT",0,0.125
"127","SOFT",0,0.126
"128","SOFT",0,0.127
"129","SOFT",0,0.128
"130","SOFT",0,0.129
"131","SOFT",0,0.13
"132","SOFT",0,0.131
"133","SOFT",0,0.132
"134","SOFT",0,0.133
"135","SOFT",0,0.134
"136","SOFT",0,0.135
"137","SOFT",0,0.136
"138","SOFT",0,0.137
"139","SOFT",0,0.138
"140","SOFT",0,0.139
"141","SOFT",0,0.14
"142","SOFT",0,0.141
"143","SOFT",0,0.142
"144","SOFT",0,0.143
"145","SOFT",0,0.144
"146","SOFT",0,0.145
"147","SOFT",0,0.146
"148","SOFT",0,0.147
"149","SOFT",0,0.148
"150","SOFT",0,0.149
"151","SOFT",0,0.15
"152","SOFT",0,0.151
"153","SOFT",0,0.152
"154","SOFT",0,0.153
"155","SOFT",0,0.154
"156","SOFT",0,0.155
"157","SOFT",0,0.156
"158","SOFT",0,0.157
"159","SOFT",0,0.158
"160","SOFT",0,0.159
"161","SOFT",0,0.16
"162","SOFT",0,0.161
"163","SOFT",0,0.162
"164","SOFT",0,0.163
"165","SOFT",0,0.164
"166","SOFT",0,0.165
"167","SOFT",0,0.166
"168","SOFT",0,0.167
"169","SOFT",0,0.168
"170","SOFT",0,0.169
"171","SOFT",0,0.17
"172","SOFT",0,0.171
"173","SOFT",0,0.172
"174","SOFT",0,0.173
"175","SOFT",0,0.174
"176","SOFT",0,0.175
"177","SOFT",0,0.176
"178","SOFT",0,0.177
"179","SOFT",0,0.178
"180","SOFT",0,0.179
"181","SOFT",0,0.18
"182","SOFT",0,0.181
"183","SOFT",0,0.182
"184","SOFT",0,0.183
"185","SOFT",0,0.184
"186","SOFT",0,0.185
"187","SOFT",0,0.186
"188","SOFT",0,0.187
"189","SOFT",0,0.188
"190","SOFT",0,0.189
"191","SOFT",0,0.19
"192","SOFT",0,0.191
"193","SOFT",0,0.192
"194","SOFT",0,0.193
"195","SOFT",0,0.194
"196","SOFT",0,0.195
"197","SOFT",0,0.196
"198","SOFT",0,0.197
"199","SOFT",0,0.198
"200","SOFT",0,0.199
"201","SOFT",0,0.2
"202","SOFT",0,0.201
"203","SOFT",0,0.202
"204","SOFT",0,0.203
"205","SOFT",0,0.204
"206","SOFT",0,0.205
"207","SOFT",0,0.206
"208","SOFT",0,0.207
"209","SOFT",0,0.208
"210","SOFT",0,0.209
"211","SOFT",0,0.21
"212","SOFT",0,0.211
"213","SOFT",0,0.212
"214","SOFT",0,0.213
"215","SOFT",0,0.214
"216","SOFT",0,0.215
"217","SOFT",0,0.216
"218","SOFT",0,0.217
"219","SOFT",0,0.218
"220","SOFT",0,0.219
"221","SOFT",0,0.22
"222","SOFT",0,0.221
"223","SOFT",0,0.222
"224","SOFT",0,0.223
"225","SOFT",0,0.224
"226","SOFT",0,0.225
"227","SOFT",0,0.226
"228","SOFT",0,0.227
"229","SOFT",0,0.228
"230","SOFT",0,0.229
"231","SOFT",0,0.23
"232","SOFT",0,0.231
"233","SOFT",0,0.232
"234","SOFT",0,0.233
"235","SOFT",0,0.234
"236","SOFT",0,0.235
"237","SOFT",0,0.236
"238","SOFT",0,0.237
"239","SOFT",0,0.238
"240","SOFT",0,0.239
"241","SOFT",0,0.24
"242","SOFT",0,0.241
"243","SOFT",0,0.242
"244","SOFT",0,0.243
"245","SOFT",0,0.244
"246","SOFT",0,0.245
"247","SOFT",0,0.246
"248","SOFT",0,0.247
"249","SOFT",0,0.248
"250","SOFT",0,0.249
"251","SOFT",0,0.25
"252","SOFT",0,0.251
"253","SOFT",0,0.252
"254","SOFT",0,0.253
"255","SOFT",0,0.254
"256","SOFT",0,0.255
"257","SOFT",0,0.256
"258","SOFT",0,0.257
"259","SOFT",0,0.258
"260","SOFT",0,0.259
"261","SOFT",0,0.26
"262","SOFT",0,0.261
"263","SOFT",0,0.262
"264","SOFT",0,0.263
"265","SOFT",0,0.264
"266","SOFT",0,0.265
"267","SOFT",0,0.266
"268","SOFT",0,0.267
"269","SOFT",0,0.268
"270","SOFT",0,0.269
"271","SOFT",0,0.27
"272","SOFT",0,0.271
"273","SOFT",0,0.272
"274","SOFT",0,0.273
"275","SOFT",0,0.274
"276","SOFT",0,0.275
"277","SOFT",0,0.276
"278","SOFT",0,0.277
"279","SOFT",0,0.278
"280","SOFT",0,0.279
"281","SOFT",0,0.28
"282","SOFT",0,0.281
"283","SOFT",0,0.282
"284","SOFT",0,0.283
"285","SOFT",0,0.284
"286","SOFT",0,0.285
"287","SOFT",0,0.286
"288","SOFT",0,0.287
"289","SOFT",0,0.288
"290","SOFT",0,0.289
"291","SOFT",0,0.29
"292","SOFT",0,0.291
"293","SOFT",0,0.292
"294","SOFT",0,0.293
"295","SOFT",0,0.294
"296","SOFT",0,0.295
"297","SOFT",0,0.296
"298","SOFT",0,0.297
"299","SOFT",0,0.298
"300","SOFT",0,0.299
"301","SOFT",0,0.3
"302","SOFT",0,0.301
"303","SOFT",0,0.302
"304","SOFT",0,0.303
"305","SOFT",0,0.304
"306","SOFT",0,0.305
"307","SOFT",0,0.306
"308","SOFT",0,0.307
"309","SOFT",0,0.308
"310","SOFT",0,0.309
"311","SOFT",0,0.31
"312","SOFT",0,0.311
"313","SOFT",0,0.312
"314","SOFT",0,0.313
"315","SOFT",0,0.314
"316","SOFT",0,0.315
"317","SOFT",0,0.316
"318","SOFT",0,0.317
"319","SOFT",0,0.318
"320","SOFT",0,0.319
"321","SOFT",0,0.32
"322","SOFT",0,0.321
"323","SOFT",0,0.322
"324","SOFT",0,0.323
"325","SOFT",0,0.324
"326","SOFT",0,0.325
"327","SOFT",0,0.326
"328","SOFT",0,0.327
"329","SOFT",0,0.328
"330","SOFT",0,0.329
"331","SOFT",0,0.33
"332","SOFT",0,0.331
"333","SOFT",0,0.332
"334","SOFT",0,0.333
"335","SOFT",0,0.334
"336","SOFT",0,0.335
"337","SOFT",0,0.336
"338","SOFT",0,0.337
"339","SOFT",0,0.338
"340","SOFT",0,0.339
"341","SOFT",0,0.34
"342","SOFT",0,0.341
"343","SOFT",0,0.342
"344","SOFT",0,0.343
"345","SOFT",0,0.344
"346","SOFT",0,0.345
"347","SOFT",0,0.346
"348","SOFT",0,0.347
"349","SOFT",0,0.348
"350","SOFT",0,0.349
"351","SOFT",0,0.35
"352","SOFT",0,0.351
"353","SOFT",0,0.352
"354","SOFT",0,0.353
"355","SOFT",0,0.354
"356","SOFT",0,0.355
"357","SOFT",0,0.356
"358","SOFT",0,0.357
"359","SOFT",0,0.358
"360","SOFT",0,0.359
"361","SOFT",0,0.36
"362","SOFT",0,0.361
"363","SOFT",0,0.362
"364","SOFT",0,0.363
"365","SOFT",0,0.364
"366","SOFT",0,0.365
"367","SOFT",0,0.366
"368","SOFT",0,0.367
"369","SOFT",0,0.368
"370","SOFT",0,0.369
"371","SOFT",0,0.37
"372","SOFT",0,0.371
"373","SOFT",0,0.372
"374","SOFT",0,0.373
"375","SOFT",0,0.374
"376","SOFT",0,0.375
"377","SOFT",0,0.376
"378","SOFT",0,0.377
"379","SOFT",0,0.378
"380","SOFT",0,0.379
"381","SOFT",0,0.38
"382","SOFT",0,0.381
"383","SOFT",0,0.382
"384","SOFT",0,0.383
"385","SOFT",0,0.384
"386","SOFT",0,0.385
"387","SOFT",0,0.386
"388","SOFT",0,0.387
"389","SOFT",0,0.388
"390","SOFT",0,0.389
"391","SOFT",0,0.39
"392","SOFT",0,0.391
"393","SOFT",0,0.392
"394","SOFT",0,0.393
"395","SOFT",0,0.394
"396","SOFT",0,0.395
"397","SOFT",0,0.396
"398","SOFT",0,0.397
"399","SOFT",0,0.398
"400","SOFT",0,0.399
"401","SOFT",0,0.4
"402","SOFT",0,0.401
"403","SOFT",0,0.402
"404","SOFT",0,0.403
"405","SOFT",0,0.404
"406","SOFT",0,0.405
"407","SOFT",0,0.406
"408","SOFT",0,0.407
"409","SOFT",0,0.408
"410","SOFT",0,0.409
"411","SOFT",0,0.41
"412","SOFT",0,0.411
"413","SOFT",0,0.412
"414","SOFT",0,0.413
"415","SOFT",0,0.414
"416","SOFT",0,0.415
"417","SOFT",0,0.416
"418","SOFT",0,0.417
"419","SOFT",0,0.418
"420","SOFT",0,0.419
"421","SOFT",0,0.42
"422","SOFT",0,0.421
"423","SOFT",0,0.422
"424","SOFT",0,0.423
"425","SOFT",0,0.424
"426","SOFT",0,0.425
"427","SOFT",0,0.426
"428","SOFT",0,0.427
"429","SOFT",0,0.428
"430","SOFT",0,0.429
"431","SOFT",0,0.43
"432","SOFT",0,0.431
"433","SOFT",0,0.432
"434","SOFT",0,0.433
"435","SOFT",0,0.434
"436","SOFT",0,0.435
"437","SOFT",0,0.436
"438","SOFT",0,0.437
"439","SOFT",0,0.438
"440","SOFT",0,0.439
"441","SOFT",0,0.44
"442","SOFT",0,0.441
"443","SOFT",0,0.442
"444","SOFT",0,0.443
"445","SOFT",0,0.444
"446","SOFT",0,0.445
"447","SOFT",0,0.446
"448","SOFT",0,0.447
"449","SOFT",0,0.448
"450","SOFT",0,0.449
"451","SOFT",0,0.45
"452","SOFT",0,0.451
"453","SOFT",0,0.452
"454","SOFT",0,0.453
"455","SOFT",0,0.454
"456","SOFT",0,0.455
"457","SOFT",0,0.456
"458","SOFT",0,0.457
"459","SOFT",0,0.458
"460","SOFT",0,0.459
"461","SOFT",0,0.46
"462","SOFT",0,0.461
"463","SOFT",0,0.462
"464","SOFT",0,0.463
"465","SOFT",0,0.464
"466","SOFT",0,0.465
"467","SOFT",0,0.466
"468","SOFT",0,0.467
"469","SOFT",0,0.468
"470","SOFT",0,0.469
"471","SOFT",0,0.47
"472","SOFT",0,0.471
"473","SOFT",0,0.472
"474","SOFT",0,0.473
"475","SOFT",0,0.474
"476","SOFT",0,0.475
"477","SOFT",0,0.476
"478","SOFT",0,0.477
"479","SOFT",0,0.478
"480","SOFT",0,0.479
"481","SOFT",0,0.48
"482","SOFT",0,0.481
"483","SOFT",0,0.482
"484","SOFT",0,0.483
"485","SOFT",0,0.484
"486","SOFT",0,0.485
"487","SOFT",0,0.486
"488","SOFT",0,0.487
"489","SOFT",0,0.488
"490","SOFT",0,0.489
"491","SOFT",0,0.49
"492","SOFT",0,0.491
"493","SOFT",0,0.492
"494","SOFT",0,0.493
"495","SOFT",0,0.494
"496","SOFT",0,0.495
"497","SOFT",0,0.496
"498","SOFT",0,0.497
"499","SOFT",0,0.498
"500","SOFT",0,0.499
"501","SOFT",0,0.5
"502","SOFT",0,0.501
"503","SOFT",0,0.502
"504","SOFT",0,0.503
"505","SOFT",0,0.504
"506","SOFT",0,0.505
"507","SOFT",0,0.506
"508","SOFT",0,0.507
"509","SOFT",0,0.508
"510","SOFT",0,0.509
"511","SOFT",0,0.51
"512","SOFT",0,0.511
"513","SOFT",0,0.512
"514","SOFT",0,0.513
"515","SOFT",0,0.514
"516","SOFT",0,0.515
"517","SOFT",0,0.516
"518","SOFT",0,0.517
"519","SOFT",0,0.518
"520","SOFT",0,0.519
"521","SOFT",0,0.52
"522","SOFT",0,0.521
"523","SOFT",0,0.522
"524","SOFT",0,0.523
"525","SOFT",0,0.524
"526","SOFT",0,0.525
"527","SOFT",0,0.526
"528","SOFT",0,0.527
"529","SOFT",0,0.528
"530","SOFT",0,0.529
"531","SOFT",0,0.53
"532","SOFT",0,0.531
"533","SOFT",0,0.532
"534","SOFT",0,0.533
"535","SOFT",0,0.534
"536","SOFT",0,0.535
"537","SOFT",0,0.536
"538","SOFT",0,0.537
"539","SOFT",0,0.538
"540","SOFT",0,0.539
"541","SOFT",0,0.54
"542","SOFT",0,0.541
"543","SOFT",0,0.542
"544","SOFT",0,0.543
"545","SOFT",0,0.544
"546","SOFT",0,0.545
"547","SOFT",0,0.546
"548","SOFT",0,0.547
"549","SOFT",0,0.548
"550","SOFT",0,0.549
"551","SOFT",0,0.55
"552","SOFT",0,0.551
"553","SOFT",0,0.552
"554","SOFT",0,0.553
"555","SOFT",0,0.554
"556","SOFT",0,0.555
"557","SOFT",0,0.556
"558","SOFT",0,0.557
"559","SOFT",0,0.558
"560","SOFT",0,0.559
"561","SOFT",0,0.56
"562","SOFT",0,0.561
"563","SOFT",0,0.562
"564","SOFT",0,0.563
"565","SOFT",0,0.564
"566","SOFT",0,0.565
"567","SOFT",0,0.566
"568","SOFT",0,0.567
"569","SOFT",0,0.568
"570","SOFT",0,0.569
"571","SOFT",0,0.57
"572","SOFT",0,0.571
"573","SOFT",0,0.572
"574","SOFT",0,0.573
"575","SOFT",0,0.574
"576","SOFT",0,0.575
"577","SOFT",0,0.576
"578","SOFT",0,0.577
"579","SOFT",0,0.578
"580","SOFT",0,0.579
"581","SOFT",0,0.58
"582","SOFT",0,0.581
"583","SOFT",0,0.582
"584","SOFT",0,0.583
"585","SOFT",0,0.584
"586","SOFT",0,0.585
"587","SOFT",0,0.586
"588","SOFT",0,0.587
"589","SOFT",0,0.588
"590","SOFT",0,0.589
"591","SOFT",0,0.59
"592","SOFT",0,0.591
"593","SOFT",0,0.592
"594","SOFT",0,0.593
"595","SOFT",0,0.594
"596","SOFT",0,0.595
"597","SOFT",0,0.596
"598","SOFT",0,0.597
"599","SOFT",0,0.598
"600","SOFT",0,0.599
"601","SOFT",0,0.6
"602","SOFT",0,0.601
"603","SOFT",0,0.602
"604","SOFT",0,0.603
"605","SOFT",0,0.604
"606","SOFT",0,0.605
"607","SOFT",0,0.606
"608","SOFT",0,0.607
"609","SOFT",0,0.608
"610","SOFT",0,0.609
"611","SOFT",0,0.61
"612","SOFT",0,0.611
"613","SOFT",0,0.612
"614","SOFT",0,0.613
"615","SOFT",0,0.614
"616","SOFT",0,0.615
"617","SOFT",0,0.616
"618","SOFT",0,0.617
"619","SOFT",0,0.618
"620","SOFT",0,0.619
"621","SOFT",0,0.62
"622","SOFT",0,0.621
"623","SOFT",0,0.622
"624","SOFT",0,0.623
"625","SOFT",0,0.624
"626","SOFT",0,0.625
"627","SOFT",0,0.626
"628","SOFT",0,0.627
"629","SOFT",0,0.628
"630","SOFT",0,0.629
"631","SOFT",0,0.63
"632","SOFT",0,0.631
"633","SOFT",0,0.632
"634","SOFT",0,0.633
"635","SOFT",0,0.634
"636","SOFT",0,0.635
"637","SOFT",0,0.636
"638","SOFT",0,0.637
"639","SOFT",0,0.638
"640","SOFT",0,0.639
"641","SOFT",0,0.64
"642","SOFT",0,0.641
"643","SOFT",0,0.642
"644","SOFT",0,0.643
"645","SOFT",0,0.644
"646","SOFT",0,0.645
"647","SOFT",0,0.646
"648","SOFT",0,0.647
"649","SOFT",0,0.648
"650","SOFT",0,0.649
"651","SOFT",0,0.65
"652","SOFT",0,0.651
"653","SOFT",0,0.652
"654","SOFT",0,0.653
"655","SOFT",0,0.654
"656","SOFT",0,0.655
"657","SOFT",0,0.656
"658","SOFT",0,0.657
"659","SOFT",0,0.658
"660","SOFT",0,0.659
"661","SOFT",0,0.66
"662","SOFT",0,0.661
"663","SOFT",0,0.662
"664","SOFT",0,0.663
"665","SOFT",0,0.664
"666","SOFT",0,0.665
"667","SOFT",0,0.666
"668","SOFT",0,0.667
"669","SOFT",0,0.668
"670","SOFT",0,0.669
"671","SOFT",0,0.67
"672","SOFT",0,0.671
"673","SOFT",0,0.672
"674","SOFT",0,0.673
"675","SOFT",0,0.674
"676","SOFT",0,0.675
"677","SOFT",0,0.676
"678","SOFT",0,0.677
"679","SOFT",0,0.678
"680","SOFT",0,0.679
"681","SOFT",0,0.68
"682","SOFT",0,0.681
"683","SOFT",0,0.682
"684","SOFT",0,0.683
"685","SOFT",0,0.684
"686","SOFT",0,0.685
"687","SOFT",0,0.686
"688","SOFT",0,0.687
"689","SOFT",0,0.688
"690","SOFT",0,0.689
"691","SOFT",0,0.69
"692","SOFT",0,0.691
"693","SOFT",0,0.692
"694","SOFT",0,0.693
"695","SOFT",0,0.694
"696","SOFT",0,0.695
"697","SOFT",0,0.696
"698","SOFT",0,0.697
"699","SOFT",0,0.698
"700","SOFT",0,0.699
"701","SOFT",0,0.7
"702","SOFT",0,0.701
"703","SOFT",0,0.702
"704","SOFT",0,0.703
"705","SOFT",0,0.704
"706","SOFT",0,0.705
"707","SOFT",0,0.706
"708","SOFT",0,0.707
"709","SOFT",0,0.708
"710","SOFT",0,0.709
"711","SOFT",0,0.71
"712","SOFT",0,0.711
"713","SOFT",0,0.712
"714","SOFT",0,0.713
"715","SOFT",0,0.714
"716","SOFT",0,0.715
"717","SOFT",0,0.716
"718","SOFT",0,0.717
"719","SOFT",0,0.718
"720","SOFT",0,0.719
"721","SOFT",0,0.72
"722","SOFT",0,0.721
"723","SOFT",0,0.722
"724","SOFT",0,0.723
"725","SOFT",0,0.724
"726","SOFT",0,0.725
"727","SOFT",0,0.726
"728","SOFT",0,0.727
"729","SOFT",0,0.728
"730","SOFT",0,0.729
"731","SOFT",0,0.73
"732","SOFT",0,0.731
"733","SOFT",0,0.732
"734","SOFT",0,0.733
"735","SOFT",0,0.734
"736","SOFT",0,0.735
"737","SOFT",0,0.736
"738","SOFT",0,0.737
"739","SOFT",0,0.738
"740","SOFT",0,0.739
"741","SOFT",0,0.74
"742","SOFT",0,0.741
"743","SOFT",0,0.742
"744","SOFT",0,0.743
"745","SOFT",0,0.744
"746","SOFT",0,0.745
"747","SOFT",0,0.746
"748","SOFT",0,0.747
"749","SOFT",0,0.748
"750","SOFT",0,0.749
"751","SOFT",0,0.75
"752","SOFT",0,0.751
"753","SOFT",0,0.752
"754","SOFT",0,0.753
"755","SOFT",0,0.754
"756","SOFT",0,0.755
"757","SOFT",0,0.756
"758","SOFT",0,0.757
"759","SOFT",0,0.758
"760","SOFT",0,0.759
"761","SOFT",0,0.76
"762","SOFT",0,0.761
"763","SOFT",0,0.762
"764","SOFT",0,0.763
"765","SOFT",0,0.764
"766","SOFT",0,0.765
"767","SOFT",0,0.766
"768","SOFT",0,0.767
"769","SOFT",0,0.768
"770","SOFT",0,0.769
"771","SOFT",0,0.77
"772","SOFT",0,0.771
"773","SOFT",0,0.772
"774","SOFT",0,0.773
"775","SOFT",0,0.774
"776","SOFT",0,0.775
"777","SOFT",0,0.776
"778","SOFT",0,0.777
"779","SOFT",0,0.778
"780","SOFT",0,0.779
"781","SOFT",0,0.78
"782","SOFT",0,0.781
"783","SOFT",0,0.782
"784","SOFT",0,0.783
"785","SOFT",0,0.784
"786","SOFT",0,0.785
"787","SOFT",0,0.786
"788","SOFT",0,0.787
"789","SOFT",0,0.788
"790","SOFT",0,0.789
"791","SOFT",0,0.79
"792","SOFT",0,0.791
"793","SOFT",0,0.792
"794","SOFT",0,0.793
"795","SOFT",0,0.794
"796","SOFT",0,0.795
"797","SOFT",0,0.796
"798","SOFT",0,0.797
"799","SOFT",0,0.798
"800","SOFT",0,0.799
"801","SOFT",0,0.8
"802","SOFT",0,0.801
"803","SOFT",0,0.802
"804","SOFT",0,0.803
"805","SOFT",0,0.804
"806","SOFT",0,0.805
"807","SOFT",0,0.806
"808","SOFT",0,0.807
"809","SOFT",0,0.808
"810","SOFT",0,0.809
"811","SOFT",0,0.81
"812","SOFT",0,0.811
"813","SOFT",0,0.812
"814","SOFT",0,0.813
"815","SOFT",0,0.814
"816","SOFT",0,0.815
"817","SOFT",0,0.816
"818","SOFT",0,0.817
"819","SOFT",0,0.818
"820","SOFT",0,0.819
"821","SOFT",0,0.82
"822","SOFT",0,0.821
"823","SOFT",0,0.822
"824","SOFT",0,0.823
"825","SOFT",0,0.824
"826","SOFT",0,0.825
"827","SOFT",0,0.826
"828","SOFT",0,0.827
"829","SOFT",0,0.828
"830","SOFT",0,0.829
"831","SOFT",0,0.83
"832","SOFT",0,0.831
"833","SOFT",0,0.832
"834","SOFT",0,0.833
"835","SOFT",0,0.834
"836","SOFT",0,0.835
"837","SOFT",0,0.836
"838","SOFT",0,0.837
"839","SOFT",0,0.838
"840","SOFT",0,0.839
"841","SOFT",0,0.84
"842","SOFT",0,0.841
"843","SOFT",0,0.842
"844","SOFT",0,0.843
"845","SOFT",0,0.844
"846","SOFT",0,0.845
"847","SOFT",0,0.846
