"fdr1","power1","fdr2","power2","fdr3","power3","fit"
"1",0,0.910891089108911,0.127906976744186,0.375,0,0.96,"CAISA"
"2",0,0.882882882882883,0.0963855421686747,0.375,0,0.96,"CAISA"
"3",0,0.864077669902913,0.0588235294117647,0.4,0.0103092783505154,0.96,"CAISA"
"4",0,0.9,0.0705882352941176,0.395,0,0.95,"CAISA"
"5",0,0.870588235294118,0.158536585365854,0.345,0,0.96,"CAISA"
"6",0,0.853932584269663,0.0833333333333334,0.385,0,0.96,"CAISA"
"7",0,0.90625,0.10752688172043,0.415,0,0.96,"CAISA"
"8",0,0.853932584269663,0.0864197530864198,0.37,0,0.96,"CAISA"
"9",0,0.884210526315789,0.157303370786517,0.375,0.0102040816326531,0.97,"CAISA"
"10",0,0.88785046728972,0.0879120879120879,0.415,0,0.97,"CAISA"
"11",0,0.871559633027523,0.0625,0.375,0,0.97,"CAISA"
"12",0,0.860215053763441,0.151162790697674,0.365,0,0.96,"CAISA"
"13",0,0.896551724137931,0.0365853658536586,0.395,0,0.97,"CAISA"
"14",0,0.885416666666667,0.0978260869565217,0.415,0,0.95,"CAISA"
"15",0,0.828828828828829,0.0963855421686747,0.375,0,0.96,"CAISA"
"16",0,0.854368932038835,0.0602409638554217,0.39,0,0.96,"CAISA"
"17",0,0.846153846153846,0.0864197530864198,0.37,0,0.96,"CAISA"
"18",0,0.862745098039216,0.075,0.37,0,0.97,"CAISA"
"19",0.0104166666666666,0.940594059405941,0.0617283950617284,0.38,0,0.97,"CAISA"
"20",0,0.926315789473684,0.112359550561798,0.395,0,0.97,"CAISA"
"21",0,0.0594059405940594,0.8,0.01,0,0.1,"SUSIE"
"22",0,0.0630630630630631,0.7,0.015,0,0.1,"SUSIE"
"23",0,0.0679611650485437,0.6,0.02,0,0.1,"SUSIE"
"24",0,0.05,0.6,0.02,0,0.1,"SUSIE"
"25",0,0.0705882352941176,0.888888888888889,0.005,0,0.1,"SUSIE"
"26",0,0.112359550561798,0.4,0.03,0,0.09,"SUSIE"
"27",0,0.0520833333333333,0.875,0.005,0,0.1,"SUSIE"
"28",0,0.112359550561798,0.777777777777778,0.01,0,0.1,"SUSIE"
"29",0,0.0947368421052632,0.444444444444444,0.025,0,0.1,"SUSIE"
"30",1,0,0.888888888888889,0.005,0,0.1,"SUSIE"
"31",0,0.073394495412844,0.666666666666667,0.015,0,0.1,"SUSIE"
"32",0,0.021505376344086,0.666666666666667,0.015,0,0.1,"SUSIE"
"33",0,0.0459770114942529,0.5,0.025,0,0.1,"SUSIE"
"34",0,0.104166666666667,0.555555555555556,0.02,0,0.1,"SUSIE"
"35",0,0.027027027027027,0.4,0.03,0,0.1,"SUSIE"
"36",0,0.0485436893203883,0.777777777777778,0.01,0,0.1,"SUSIE"
"37",0,0.0673076923076923,0.9,0.005,0,0.1,"SUSIE"
"38",0,0.0980392156862745,0.666666666666667,0.015,0,0.1,"SUSIE"
"39",0,0.0594059405940594,0.5,0.02,0,0.1,"SUSIE"
"40",0,0.0315789473684211,0.555555555555556,0.02,0,0.1,"SUSIE"
"41",0.62992125984252,0.930693069306931,0.697986577181208,0.45,0.222222222222222,0.98,"LASSO"
"42",0.638376383763838,0.882882882882883,0.706451612903226,0.455,0.133928571428571,0.97,"LASSO"
"43",0.506172839506173,0.776699029126214,0.717948717948718,0.44,0.23015873015873,0.97,"LASSO"
"44",0.47239263803681,0.86,0.711038961038961,0.445,0.206611570247934,0.96,"LASSO"
"45",0.725694444444444,0.929411764705882,0.713310580204778,0.42,0.184873949579832,0.97,"LASSO"
"46",0.432,0.797752808988764,0.695081967213115,0.465,0.25,0.96,"LASSO"
"47",0.480769230769231,0.84375,0.693498452012384,0.495,0.228346456692913,0.98,"LASSO"
"48",0.316831683168317,0.775280898876405,0.6957928802589,0.47,0.348684210526316,0.99,"LASSO"
"49",0.4140625,0.789473684210526,0.71608832807571,0.45,0.183333333333333,0.98,"LASSO"
"50",0.668941979522184,0.906542056074766,0.731788079470199,0.405,0.173553719008264,1,"LASSO"
"51",0.593073593073593,0.862385321100917,0.725552050473186,0.435,0.184873949579832,0.97,"LASSO"
"52",0.481481481481482,0.903225806451613,0.732258064516129,0.415,0.141592920353982,0.97,"LASSO"
"53",0.572972972972973,0.908045977011494,0.716666666666667,0.425,0.248062015503876,0.97,"LASSO"
"54",0.428571428571429,0.875,0.706270627062706,0.445,0.142857142857143,0.96,"LASSO"
"55",0.502673796791444,0.837837837837838,0.705705705705706,0.49,0.203252032520325,0.98,"LASSO"
"56",0.608888888888889,0.854368932038835,0.711475409836066,0.44,0.234375,0.98,"LASSO"
"57",0.406896551724138,0.826923076923077,0.705128205128205,0.46,0.204918032786885,0.97,"LASSO"
"58",0.419847328244275,0.745098039215686,0.731391585760518,0.415,0.263157894736842,0.98,"LASSO"
"59",0.634980988593156,0.95049504950495,0.687074829931973,0.46,0.132743362831858,0.98,"LASSO"
"60",0.656126482213439,0.91578947368421,0.688963210702341,0.465,0.149122807017544,0.97,"LASSO"
"61",0.647940074906367,0.930693069306931,0.707236842105263,0.445,0.222222222222222,0.98,"ENET"
"62",0.636704119850187,0.873873873873874,0.717460317460317,0.445,0.198347107438017,0.97,"ENET"
"63",0.51219512195122,0.776699029126214,0.717391304347826,0.455,0.211382113821138,0.97,"ENET"
"64",0.49112426035503,0.86,0.711475409836066,0.44,0.225806451612903,0.96,"ENET"
"65",0.72280701754386,0.929411764705882,0.711864406779661,0.425,0.156521739130435,0.97,"ENET"
"66",0.449612403100775,0.797752808988764,0.68976897689769,0.47,0.261538461538461,0.96,"ENET"
"67",0.5,0.854166666666667,0.701219512195122,0.49,0.228346456692913,0.98,"ENET"
"68",0.323529411764706,0.775280898876405,0.701923076923077,0.465,0.307692307692308,0.99,"ENET"
"69",0.423076923076923,0.789473684210526,0.720496894409938,0.45,0.190082644628099,0.98,"ENET"
"70",0.655913978494624,0.897196261682243,0.730519480519481,0.415,0.2,1,"ENET"
"71",0.608333333333333,0.862385321100917,0.729230769230769,0.44,0.246153846153846,0.98,"ENET"
"72",0.484662576687117,0.903225806451613,0.730519480519481,0.415,0.141592920353982,0.97,"ENET"
"73",0.56353591160221,0.908045977011494,0.720779220779221,0.43,0.248062015503876,0.97,"ENET"
"74",0.44,0.875,0.715210355987055,0.44,0.142857142857143,0.96,"ENET"
"75",0.502673796791444,0.837837837837838,0.709090909090909,0.48,0.183333333333333,0.98,"ENET"
"76",0.615044247787611,0.844660194174757,0.716612377850163,0.435,0.234375,0.98,"ENET"
"77",0.410596026490066,0.855769230769231,0.706070287539936,0.46,0.265151515151515,0.97,"ENET"
"78",0.428571428571429,0.745098039215686,0.738993710691824,0.415,0.274074074074074,0.98,"ENET"
"79",0.653571428571429,0.96039603960396,0.696369636963696,0.46,0.183333333333333,0.98,"ENET"
"80",0.670454545454545,0.91578947368421,0.683673469387755,0.465,0.150442477876106,0.96,"ENET"
"81",0,0.831683168316832,0,0.15,0,0.94,"BayesB"
"82",0,0.837837837837838,0,0.155,0,0.95,"BayesB"
"83",0,0.776699029126214,0,0.09,0,0.95,"BayesB"
"84",0,0.83,0,0.15,0,0.95,"BayesB"
"85",0,0.835294117647059,0,0.12,0,0.95,"BayesB"
"86",0,0.719101123595506,0,0.22,0,0.94,"BayesB"
"87",0,0.822916666666667,0,0.195,0,0.95,"BayesB"
"88",0,0.617977528089888,0,0.16,0,0.95,"BayesB"
"89",0,0.705263157894737,0,0.18,0,0.93,"BayesB"
"90",0,0.822429906542056,0,0.17,0,0.94,"BayesB"
"91",0,0.788990825688073,0,0.235,0,0.95,"BayesB"
"92",0,0.827956989247312,0,0.12,0,0.94,"BayesB"
"93",0,0.804597701149425,0,0.19,0,0.95,"BayesB"
"94",0,0.770833333333333,0,0.22,0,0.95,"BayesB"
"95",0,0.738738738738739,0,0.11,0,0.94,"BayesB"
"96",0,0.747572815533981,0,0.19,0,0.95,"BayesB"
"97",0,0.759615384615385,0,0.15,0,0.95,"BayesB"
"98",0,0.676470588235294,0,0.14,0,0.94,"BayesB"
"99",0,0.871287128712871,0,0.12,0,0.95,"BayesB"
"100",0,0.842105263157895,0,0.13,0,0.96,"BayesB"
"101",0,0.920792079207921,0.219512195121951,0.32,0,0.97,"L0Learn"
"102",0.0202020202020202,0.873873873873874,0.375,0.3,0.0202020202020202,0.97,"L0Learn"
"103",0.0217391304347826,0.87378640776699,0.217948717948718,0.305,0.0103092783505154,0.96,"L0Learn"
"104",0.0217391304347826,0.9,0.340425531914894,0.31,0,0.96,"L0Learn"
"105",0.025974025974026,0.882352941176471,0.24390243902439,0.31,0,0.97,"L0Learn"
"106",0.012987012987013,0.853932584269663,0.351063829787234,0.305,0.0103092783505154,0.96,"L0Learn"
"107",0.032258064516129,0.9375,0.333333333333333,0.31,0,0.97,"L0Learn"
"108",0.0804597701149425,0.898876404494382,0.265060240963855,0.305,0,0.99,"L0Learn"
"109",0.0232558139534884,0.884210526315789,0.285714285714286,0.35,0.0102040816326531,0.97,"L0Learn"
