"x","y"
"1",0,0
"2",0.005,446
"3",0.01,448
"4",0.015,449
"5",0.02,450
"6",0.025,451
"7",0.03,451
"8",0.035,451
"9",0.04,452
"10",0.045,452
"11",0.05,452
"12",0.055,452
"13",0.06,452
"14",0.065,452
"15",0.07,452
"16",0.075,452
"17",0.08,452
"18",0.085,453
"19",0.09,453
"20",0.095,453
"21",0.1,453
"22",0.11,453
"23",0.12,453
"24",0.13,453
"25",0.14,453
"26",0.15,453
"27",0.16,453
"28",0.17,453
"29",0.18,453
"30",0.19,453
"31",0.2,453
"32",0.21,453
"33",0.22,453
"34",0.23,453
"35",0.24,453
"36",0.25,453
"37",0.26,453
"38",0.27,453
"39",0.28,453
"40",0.29,453
"41",0.3,453
"42",0.31,453
"43",0.32,453
"44",0.33,453
"45",0.34,453
"46",0.35,453
"47",0.36,453
"48",0.37,453
"49",0.38,453
"50",0.39,453
"51",0.4,453
"52",0.41,453
"53",0.42,453
"54",0.43,453
"55",0.44,453
"56",0.45,453
"57",0.46,453
"58",0.47,453
"59",0.48,453
"60",0.49,453
"61",0.5,453
"62",0.51,454
"63",0.52,454
"64",0.53,454
"65",0.54,454
"66",0.55,454
"67",0.56,454
"68",0.57,454
"69",0.58,454
"70",0.59,455
"71",0.6,455
"72",0.61,455
"73",0.62,456
"74",0.63,456
"75",0.64,456
"76",0.65,457
"77",0.66,457
"78",0.67,457
"79",0.68,457
"80",0.69,457
"81",0.7,457
"82",0.71,457
"83",0.72,457
"84",0.73,457
"85",0.74,458
"86",0.75,458
"87",0.76,459
"88",0.77,459
"89",0.78,460
"90",0.79,460
"91",0.8,461
"92",0.81,461
"93",0.82,463
"94",0.83,463
"95",0.84,463
"96",0.85,466
"97",0.86,466
"98",0.87,467
"99",0.88,469
"100",0.89,470
"101",0.9,472
"102",0.905,474
"103",0.91,477
"104",0.915,477
"105",0.92,478
"106",0.925,479
"107",0.93,488
"108",0.935,514
"109",0.94,603
"110",0.945,733
"111",0.95,819
"112",0.955,872
"113",0.96,915
"114",0.965,954
"115",0.97,985
"116",0.975,1000
"117",0.98,1000
"118",0.985,1000
"119",0.99,1000
"120",0.995,1000
"121",1,1000
