"p","y","n"
"1",10,0.148349999998754,"250"
"2",20,0.233750000003783,"250"
"3",40,0.349550000003364,"250"
"4",80,0.532449999997334,"250"
"5",160,0.683800000001793,"250"
"6",320,0.973199999998906,"250"
"7",640,1.76515000000072,"250"
"8",1280,3.80560000000114,"250"
"9",2560,7.6795999999973,"250"
"10",5120,15.7314499999993,"250"
"11",10,0.229650000001129,"500"
"12",20,0.335999999997148,"500"
"13",40,0.475350000000617,"500"
"14",80,0.705399999996007,"500"
"15",160,1.080349999998,"500"
"16",320,1.56545000000042,"500"
"17",640,2.84765000000189,"500"
"18",1280,5.39809999999852,"500"
"19",2560,11.2069499999998,"500"
"20",5120,22.0384999999995,"500"
"21",10,0.414949999999953,"1000"
"22",20,0.569100000003527,"1000"
"23",40,0.877699999997276,"1000"
"24",80,1.20990000000456,"1000"
"25",160,1.48904999999504,"1000"
"26",320,2.56139999999723,"1000"
"27",640,5.01254999999219,"1000"
"28",1280,10.4654499999975,"1000"
"29",2560,21.13465,"1000"
"30",5120,39.3612749999885,"1000"
"31",10,0.644600000001083,"2000"
"32",20,0.905100000000675,"2000"
"33",40,1.35304999999789,"2000"
"34",80,1.91530000000057,"2000"
"35",160,2.56939999999304,"2000"
"36",320,4.12684999999765,"2000"
"37",640,7.86019999999407,"2000"
"38",1280,15.863549999996,"2000"
"39",2560,32.3415999999997,"2000"
"40",5120,61.399774999988,"2000"
