"b","sb","prior"
"1",0,0,"CAISA"
"2",0.2,0.000631930988979513,"CAISA"
"3",0.4,0.00184813642356717,"CAISA"
"4",0.6,0.00521390024754317,"CAISA"
"5",0.8,0.0167214143835505,"CAISA"
"6",1,0.0628260110674172,"CAISA"
"7",1.2,0.256123258491876,"CAISA"
"8",1.4,0.819723381721978,"CAISA"
"9",1.6,1.44465581416287,"CAISA"
"10",1.8,1.77356444132568,"CAISA"
"11",2,1.99217092542762,"CAISA"
"12",2.2,2.19357609977373,"CAISA"
"13",2.4,2.39316029815469,"CAISA"
"14",2.6,2.59260022972473,"CAISA"
"15",2.8,2.79203146508621,"CAISA"
"16",3,2.99146229964778,"CAISA"
"17",3.2,3.19089312004397,"CAISA"
"18",3.4,3.39032394005544,"CAISA"
"19",3.6,3.58975476005887,"CAISA"
"20",3.8,3.78918558006217,"CAISA"
"21",4,3.98861640006547,"CAISA"
"22",4.2,4.18804722006876,"CAISA"
"23",4.4,4.38747804007206,"CAISA"
"24",4.6,4.58690886007535,"CAISA"
"25",4.8,4.78633968007864,"CAISA"
"26",5,4.98577050008193,"CAISA"
"27",5.2,5.18520132008522,"CAISA"
"28",5.4,5.38463214008851,"CAISA"
"29",5.6,5.5840629600918,"CAISA"
"30",5.8,5.78349378009509,"CAISA"
"31",6,5.98292460009837,"CAISA"
"32",6.2,6.18235542010166,"CAISA"
"33",6.4,6.38178624010494,"CAISA"
"34",6.6,6.58121706010823,"CAISA"
"35",6.8,6.78064788011151,"CAISA"
"36",7,6.98007870011479,"CAISA"
"37",7.2,7.17950952011808,"CAISA"
"38",7.4,7.37894034012136,"CAISA"
"39",7.6,7.57837116012464,"CAISA"
"40",7.8,7.77780198012793,"CAISA"
"41",8,7.97723280013121,"CAISA"
"42",8.2,8.17666362013449,"CAISA"
"43",8.4,8.37609444013777,"CAISA"
"44",8.6,8.57552526014106,"CAISA"
"45",8.8,8.77495608014434,"CAISA"
"46",9,8.97438690014762,"CAISA"
"47",9.2,9.17381772015091,"CAISA"
"48",9.4,9.37324854015419,"CAISA"
"49",9.6,9.57267936015747,"CAISA"
"50",9.8,9.77211018016076,"CAISA"
"51",10,9.97154100016404,"CAISA"
"52",10.2,10.1709718201673,"CAISA"
