"fit","pred"
"1","CAISA",1
"2","CAISA",1
"3","CAISA",1
"4","CAISA",1
"5","CAISA",1
"6","CAISA",1
"7","CAISA",1
"8","CAISA",1
"9","CAISA",1
"10","CAISA",1
"11","CAISA",1
"12","CAISA",1
"13","CAISA",1
"14","CAISA",1
"15","CAISA",1
"16","CAISA",1
"17","CAISA",1
"18","CAISA",1
"19","CAISA",1
"20","CAISA",1
"21","SUSIE",1
"22","SUSIE",1
"23","SUSIE",1
"24","SUSIE",1
"25","SUSIE",1
"26","SUSIE",1
"27","SUSIE",1
"28","SUSIE",1
"29","SUSIE",1
"30","SUSIE",1
"31","SUSIE",1
"32","SUSIE",1
"33","SUSIE",1
"34","SUSIE",1
"35","SUSIE",1
"36","SUSIE",1
"37","SUSIE",1
"38","SUSIE",1
"39","SUSIE",1
"40","SUSIE",1
"41","VARBVS",1
"42","VARBVS",1
"43","VARBVS",1
"44","VARBVS",1
"45","VARBVS",1
"46","VARBVS",1
"47","VARBVS",1
"48","VARBVS",1
"49","VARBVS",1
"50","VARBVS",1
"51","VARBVS",1
"52","VARBVS",1
"53","VARBVS",1
"54","VARBVS",1
"55","VARBVS",1
"56","VARBVS",1
"57","VARBVS",1
"58","VARBVS",1
"59","VARBVS",1
"60","VARBVS",1
"61","L0Learn",1
"62","L0Learn",1
"63","L0Learn",1
"64","L0Learn",1
"65","L0Learn",1
"66","L0Learn",1
"67","L0Learn",1
"68","L0Learn",1
"69","L0Learn",1
"70","L0Learn",1
"71","L0Learn",1
"72","L0Learn",1
"73","L0Learn",1
"74","L0Learn",1
"75","L0Learn",1
"76","L0Learn",1
"77","L0Learn",1
"78","L0Learn",1
"79","L0Learn",1
"80","L0Learn",1
"81","LASSO",1
"82","LASSO",1
"83","LASSO",1
"84","LASSO",1
"85","LASSO",1
"86","LASSO",1
"87","LASSO",1
"88","LASSO",1
"89","LASSO",1
"90","LASSO",1
"91","LASSO",1
"92","LASSO",1
"93","LASSO",1
"94","LASSO",1
"95","LASSO",1
"96","LASSO",1
"97","LASSO",1
"98","LASSO",1
"99","LASSO",1
"100","LASSO",1
"101","RIDGE",0
"102","RIDGE",0
"103","RIDGE",0
"104","RIDGE",0
"105","RIDGE",0
"106","RIDGE",0
"107","RIDGE",0
"108","RIDGE",0
"109","RIDGE",0
"110","RIDGE",0
"111","RIDGE",0
"112","RIDGE",0
"113","RIDGE",0
"114","RIDGE",0
"115","RIDGE",0
"116","RIDGE",0
"117","RIDGE",0
"118","RIDGE",0
"119","RIDGE",0
"120","RIDGE",0
"121","E-NET",0
"122","E-NET",0
"123","E-NET",0
"124","E-NET",0
"125","E-NET",0
"126","E-NET",0
"127","E-NET",0
"128","E-NET",0
"129","E-NET",0
"130","E-NET",0
"131","E-NET",0
"132","E-NET",0
"133","E-NET",0
"134","E-NET",0
"135","E-NET",0
"136","E-NET",0
"137","E-NET",0
"138","E-NET",0
"139","E-NET",0
"140","E-NET",0
"141","BLASSO",0
"142","BLASSO",0
"143","BLASSO",0
"144","BLASSO",0
"145","BLASSO",0
"146","BLASSO",0
"147","BLASSO",0
"148","BLASSO",0
"149","BLASSO",0
"150","BLASSO",0
"151","BLASSO",0
"152","BLASSO",0
"153","BLASSO",0
"154","BLASSO",0
"155","BLASSO",0
"156","BLASSO",0
"157","BLASSO",0
"158","BLASSO",0
"159","BLASSO",0
"160","BLASSO",0
"161","BayesB",0
"162","BayesB",0
"163","BayesB",0
"164","BayesB",0
"165","BayesB",0
"166","BayesB",0
"167","BayesB",0
"168","BayesB",0
"169","BayesB",0
"170","BayesB",0
"171","BayesB",0
"172","BayesB",0
"173","BayesB",0
"174","BayesB",0
"175","BayesB",0
"176","BayesB",0
"177","BayesB",0
"178","BayesB",0
"179","BayesB",0
"180","BayesB",0
