probIn scale
0.5148353 1.311618
0.4889117 1.25721
0.485315 1.22847
0.4790505 1.25745
0.5055998 1.18457
0.5225282 1.243811
0.4833054 1.239503
0.4390219 1.29702
0.4438903 1.268603
0.3995736 1.279377
0.3671718 1.324536
0.362763 1.343567
0.3522472 1.329221
0.3177514 1.345439
0.3100574 1.345041
0.3183832 1.301596
0.3456659 1.281937
0.3545438 1.310328
0.3526638 1.314
0.339393 1.383805
0.3547889 1.404779
0.3578643 1.404389
0.369622 1.424124
0.3948795 1.376559
0.4185315 1.387419
0.4180004 1.433881
0.4171623 1.37648
0.4102167 1.359628
0.4440437 1.345127
0.4290378 1.321513
0.3925887 1.264684
0.4172609 1.230738
0.3974276 1.233563
0.350362 1.279891
0.3326439 1.256742
0.3282474 1.228701
0.3504527 1.150156
0.3347629 1.133606
0.3389686 1.083834
0.2953041 1.098595
0.2701896 1.080882
0.2415901 1.040975
0.2473968 1.019302
0.239322 1.062074
0.2108573 1.071244
0.2057131 1.086346
0.2000724 1.080254
0.2026446 1.079703
0.2093874 1.071244
0.1987714 1.08271
0.2053014 1.031986
0.2154057 1.036686
0.2161838 1.048449
0.1885383 1.052387
0.1884655 1.031756
0.1731995 1.070838
0.1642981 1.059945
0.1898343 1.040511
0.1922376 1.017574
0.1592993 1.013058
0.1540995 1.029271
0.1605998 1.032247
0.1744849 1.035732
0.1689353 1.042577
0.1539683 1.043539
0.1482844 1.06345
0.1603874 1.03435
0.1750261 0.9968901
0.1867287 0.9914738
0.1766003 0.9708177
0.1692519 0.9830236
0.1634247 0.9657262
0.1805549 0.9735334
0.2092486 0.9441137
0.208454 0.9233915
0.2296697 0.9436701
0.2362849 0.9476773
0.2085553 0.94596
0.2096114 0.9086054
0.2234228 0.9389071
0.231448 0.9214339
0.1930982 0.9574436
0.195003 0.9931323
0.1912664 0.9937113
0.1887204 0.9599237
0.2062581 0.9435702
0.2118021 0.9499692
0.2214207 0.9787912
0.229528 0.9762373
0.2248385 0.9558922
0.2002444 0.9368547
0.2057922 0.9170087
0.2168477 0.9052174
0.216473 0.880977
0.2391377 0.8951893
0.2135722 0.8730349
0.1923302 0.890404
0.1893338 0.8741879
0.1841441 0.901061
0.1899313 0.8944474
0.1719666 0.8833865
0.1834818 0.8608538
0.1879363 0.8697021
0.2026961 0.8493768
0.1916578 0.855748
0.1527349 0.8292072
0.1410041 0.8316792
0.1676661 0.8282237
0.1566281 0.8165476
0.1677232 0.8121393
0.1736155 0.8020745
0.1731721 0.7719719
0.157294 0.8033854
0.1688481 0.7638916
0.1793959 0.7486842
0.1765587 0.7196193
0.2070757 0.7127538
0.2013697 0.6843016
0.2107356 0.6750969
0.20951 0.6473273
0.2272029 0.6611239
0.2468722 0.6591873
0.2450601 0.6407255
0.2347541 0.6715159
0.2429721 0.6679755
0.268824 0.6529551
0.2694817 0.6689841
0.266228 0.6543618
0.2230639 0.6616033
0.2139758 0.6474056
0.2370765 0.6523731
0.2127023 0.6320513
0.2254976 0.6308421
0.2663433 0.6337926
0.2404767 0.6252991
0.2192092 0.6214949
0.1994035 0.6170506
0.1971646 0.6535343
0.2126004 0.6327646
0.2196779 0.6139855
0.2116025 0.6170603
0.2130495 0.6330104
0.2027077 0.6205004
0.217451 0.6072919
0.2326378 0.6024904
0.2472628 0.6185815
0.222545 0.6328892
0.2447383 0.6427072
0.2373403 0.6543642
0.2401186 0.6495216
0.248754 0.6547028
0.2820343 0.6775169
0.2930661 0.6397989
0.2990863 0.613897
0.3192246 0.6197863
0.3027014 0.6279207
0.3217242 0.6322385
0.3054289 0.6800089
0.3023508 0.6893609
0.3228077 0.6722029
0.3545994 0.7232013
0.3435617 0.7189427
0.3319174 0.7306984
0.2883802 0.7492875
0.298928 0.745805
0.2765156 0.7457864
0.2706411 0.7305765
0.2640885 0.7196944
0.2766752 0.7575424
0.2743479 0.7658943
0.2691205 0.7413974
0.3019781 0.7700883
0.3086208 0.7357316
0.3195167 0.7250366
0.3082307 0.734322
0.2826326 0.7454397
0.2570776 0.7673319
0.2879637 0.7494054
0.3000287 0.7709199
0.3007424 0.770602
0.3053884 0.7788275
0.3195468 0.7852678
0.3046388 0.8213934
0.323108 0.8582697
0.3273137 0.8459305
0.3084092 0.8254471
0.2980478 0.8374787
0.2996557 0.8351164
0.2962309 0.86024
0.2933983 0.8619605
0.3194346 0.8599567
0.3327139 0.8597585
0.3435406 0.8433907
0.3417283 0.8204365
0.371572 0.8358187
0.34168 0.855088
0.3042594 0.8430274
0.2938608 0.8473272
0.2763861 0.839299
0.2547701 0.8418201
0.2430444 0.8640912
0.2654332 0.857436
0.259354 0.8813861
0.2411939 0.8703027
0.23797 0.8981682
0.2742316 0.9220794
0.3029008 0.9442783
0.3132856 0.9124465
0.3223955 0.9133503
0.3172531 0.9104475
0.3412989 0.874397
0.3665839 0.8523757
0.357898 0.8338863
0.326025 0.8433183
0.3120312 0.8413237
0.3271122 0.8370302
0.335142 0.8302777
0.3432985 0.8065643
0.3396881 0.772784
0.3224646 0.7522136
0.3534226 0.754223
0.3641312 0.7263539
0.3503399 0.7490296
0.3147265 0.7303936
0.3107606 0.7539041
0.2918723 0.7453726
0.3312349 0.7518061
0.3162168 0.7558718
0.3163373 0.7353781
0.3224846 0.7303565
0.3593764 0.7769977
0.3240064 0.7626434
0.318521 0.7387179
0.2959894 0.7542807
0.2920001 0.7580754
0.2826972 0.7449218
0.2712194 0.754637
0.2890127 0.7422336
0.2852494 0.7321353
0.29622 0.6992093
0.2974307 0.7076142
0.329401 0.7118356
0.3152318 0.7260843
0.3440876 0.7484887
0.3452576 0.7380911
0.3366358 0.7278416
0.3182904 0.7451798
0.3254727 0.7477556
0.3470013 0.7292992
0.3453312 0.7311223
0.3386693 0.7236386
0.3177282 0.7130027
0.337933 0.7430366
0.3253416 0.7690084
0.3015017 0.7927082
0.3045301 0.7808933
0.2900092 0.8123477
0.2676368 0.8171797
0.2773034 0.8286651
0.251674 0.8360734
0.2705856 0.7907333
0.2646545 0.7977523
0.2647012 0.8195174
0.2279798 0.8193369
0.2160877 0.8068646
0.2034603 0.8000707
0.2039347 0.8141995
0.2281938 0.8099202
0.1890613 0.8159156
0.2015953 0.7858073
