"x","y"
"1",1,0
"2",2,2.46615544635697e-278
"3",3,5.61614573678395e-304
"4",4,1.19460238235996e-285
"5",5,2.19789686551206e-283
"6",6,4.53228175581218e-316
"7",7,2.86558074587923e-322
"8",8,4.92122998788605e-289
"9",9,9.2903354695219e-297
"10",10,1.6663211101542e-253
"11",11,2.09301941946083e-280
"12",12,2.3352474800635e-285
"13",13,1.12139853131258e-271
"14",14,4.51333907587648e-280
"15",15,1.34655405077038e-273
"16",16,5.59856589528178e-285
"17",17,7.16077262982271e-278
"18",18,1.49272565796547e-285
"19",19,1.42410983016233e-252
"20",20,2.54688921907564e-286
"21",21,2.12750966868718e-261
"22",22,7.32977222839115e-282
"23",23,5.14499034500401e-275
"24",24,1.41206592552498e-282
"25",25,7.49838230143178e-258
"26",26,1.43624087015901e-252
"27",27,2.6610600866588e-279
"28",28,1.15292335453535e-234
"29",29,3.96419518033298e-302
"30",30,4.47519221294932e-279
"31",31,2.47260146705545e-270
"32",32,8.10733840699002e-278
"33",33,9.70362454007947e-269
"34",34,2.5163018262433e-287
"35",35,6.78673456834204e-233
"36",36,1.43989438885188e-267
"37",37,8.27087009376956e-258
"38",38,1.57002773115597e-275
"39",39,1.23917320825606e-276
"40",40,4.68576091888839e-223
"41",41,9.91718929807348e-234
"42",42,2.92777062066905e-236
"43",43,3.01860602662037e-247
"44",44,6.38802877656321e-241
"45",45,4.69880121705227e-234
"46",46,2.05144738355709e-247
"47",47,1.83172848144145e-257
"48",48,3.67082515756469e-261
"49",49,1.36245070043797e-224
"50",50,4.15449704888714e-236
"51",51,7.93618968628357e-241
"52",52,1.54592851750564e-226
"53",53,2.58666117772008e-244
"54",54,4.75988106084533e-244
"55",55,1.57034431582999e-250
"56",56,3.15656978595286e-248
"57",57,1.58915095799666e-213
"58",58,2.43046069361955e-211
"59",59,5.69112131854767e-237
"60",60,1.38273665217992e-226
"61",61,1.55274402178717e-244
"62",62,2.59749275705663e-224
"63",63,1.34031722616542e-225
"64",64,2.17244505931607e-248
"65",65,1.28861548948926e-233
"66",66,1.26672926208241e-221
"67",67,1.36212996540702e-217
"68",68,2.01623333729375e-209
"69",69,2.66284250613439e-259
"70",70,2.55524836360275e-229
"71",71,6.21725373334056e-234
"72",72,1.85559370631922e-190
"73",73,1.64347485137089e-220
"74",74,1.88722836446033e-234
"75",75,1.34486403385319e-202
"76",76,9.67888030586457e-216
"77",77,7.29600745290276e-211
"78",78,1.07352984734041e-232
"79",79,1.5064423954714e-222
"80",80,5.79706612335379e-235
"81",81,9.09505953467978e-224
"82",82,1.25812193301145e-186
"83",83,1.92153757764042e-233
"84",84,3.76119068161002e-210
"85",85,1.77353303434185e-221
"86",86,3.83072262146613e-195
"87",87,7.22702732882752e-236
"88",88,5.88694421466574e-229
"89",89,1.55864325203857e-191
"90",90,5.08454890925729e-210
"91",91,1.08315920778102e-209
"92",92,7.58995763635601e-201
"93",93,8.17855916979118e-196
"94",94,1.93642132759924e-206
"95",95,5.56112657952759e-209
"96",96,1.10649719935012e-198
"97",97,7.53036318107009e-197
"98",98,1.64160519147275e-186
"99",99,3.18832269278229e-188
"100",100,9.77148780176092e-188
"101",101,2.14565583037521e-154
"102",102,1.484807622223e-172
"103",103,9.81338106705726e-199
"104",104,2.70681703746829e-216
"105",105,8.67517860375136e-196
"106",106,2.60563335095136e-187
"107",107,5.07546744222339e-193
"108",108,7.48911366883706e-173
"109",109,4.10480340584877e-169
