"b","sb","prior"
"1",0,0,"CAISA"
"2",0.05,9.83696536643787e-05,"CAISA"
"3",0.1,0.000952490537613442,"CAISA"
"4",0.15,0.0178330668120027,"CAISA"
"5",0.2,0.168882451144603,"CAISA"
"6",0.25,0.249443646913027,"CAISA"
"7",0.3,0.299804045653418,"CAISA"
"8",0.35,0.349773040322747,"CAISA"
"9",0.4,0.399740619533649,"CAISA"
"10",0.45,0.449708197043404,"CAISA"
"11",0.5,0.499675774575681,"CAISA"
"12",0.55,0.5496433521335,"CAISA"
"13",0.6,0.599610929719089,"CAISA"
"14",0.65,0.649578507334582,"CAISA"
"15",0.7,0.699546084982021,"CAISA"
"16",0.75,0.749513662663341,"CAISA"
"17",0.8,0.799481240380374,"CAISA"
"18",0.85,0.849448818134836,"CAISA"
"19",0.9,0.899416395928328,"CAISA"
"20",0.95,0.949383973762328,"CAISA"
"21",1,0.999351551638191,"CAISA"
"22",1.05,1.04931912955714,"CAISA"
"23",1.1,1.09928670752028,"CAISA"
"24",1.15,1.14925428552857,"CAISA"
"25",1.2,1.19922186358283,"CAISA"
"26",1.25,1.24918944168378,"CAISA"
"27",1.3,1.29915701983197,"CAISA"
"28",1.35,1.34912459802782,"CAISA"
"29",1.4,1.39909217627165,"CAISA"
"30",1.45,1.44905975456361,"CAISA"
"31",1.5,1.49902733290373,"CAISA"
"32",1.55,1.54899491129193,"CAISA"
"33",1.6,1.59896248972798,"CAISA"
"34",1.65,1.64893006821156,"CAISA"
"35",1.7,1.69889764674219,"CAISA"
"36",1.75,1.74886522531932,"CAISA"
"37",1.8,1.79883280394226,"CAISA"
"38",1.85,1.84880038261023,"CAISA"
"39",1.9,1.89876796132234,"CAISA"
"40",1.95,1.94873554007762,"CAISA"
"41",2,1.998703118875,"CAISA"
"42",2.05,2.04867069771333,"CAISA"
"43",2.1,2.09863827659139,"CAISA"
"44",2.15,2.14860585550788,"CAISA"
"45",2.2,2.19857343446143,"CAISA"
"46",2.25,2.24854101345063,"CAISA"
"47",2.3,2.298508592474,"CAISA"
"48",2.35,2.34847617153002,"CAISA"
"49",2.4,2.39844375061715,"CAISA"
"50",2.45,2.44841132973378,"CAISA"
"51",2.5,2.49837890887831,"CAISA"
"52",2.55,2.54834648804909,"CAISA"
"53",2.6,2.59831406724448,"CAISA"
"54",2.65,2.6482816464628,"CAISA"
"55",2.7,2.69824922570241,"CAISA"
"56",2.75,2.74821680496164,"CAISA"
"57",2.8,2.79818438423884,"CAISA"
"58",2.85,2.84815196353236,"CAISA"
"59",2.9,2.8981195428406,"CAISA"
"60",2.95,2.94808712216195,"CAISA"
"61",3,2.99805470149484,"CAISA"
"62",3.05,3.04802228083773,"CAISA"
"63",3.1,3.09798986018913,"CAISA"
"64",3.15,3.14795743954756,"CAISA"
"65",3.2,3.19792501891161,"CAISA"
"66",3.25,3.24789259827989,"CAISA"
